ID,Question,Difficulty,A,B,C,D,Correct Answer
41,"Given a project with 100 anticipated defects, what is the optimal strategy to reduce bug-fixing costs based on statistical data presented in the course?",4,Focus on Unit Testing as early as possible,Skip Reviews and focus only on automated testing,Focus only on System Testing,"Perform a Comprehensive Plan including Design Inspection, Code Inspection, and less Unit Testing",D
42,"According to research presented in the course, what percentage of bugs are detected through Inspections?",4,95-100%,82-93%,70-82%,50-60%,B
43,What is the meaning of a Cyclomatic Complexity of 50 or higher in code?,4,The code is moderately complex,The code is simple to understand,The code is practically untestable,The code requires light refactoring,C
44,What is the ratio of time dedicated to maintenance compared to development time in modern software systems?,4,Maintenance takes about 30% of development time,Maintenance takes about 50% of development time,Maintenance accounts for about 67% of total product costs,Maintenance takes less time than development,C
45,"Given a flow graph with 20 nodes, 25 edges, and 3 regions, what is the Cyclomatic Complexity?",4,5,6,8,7,D
46,"According to the course, what is a key characteristic that differentiates plan-driven from agile development?",4,Plan-driven uses no documentation,Agile methods argue that producing a requirements document may be wasteful as requirements change quickly,Plan-driven never uses iterations,Agile methods require more upfront planning,B
47,What percentage of defects originate from Requirements specification according to industrial experience?,4,15%,5%,35%,50%,A
48,"During a formal review session, which of the following is NOT one of Pressman's guidelines?",4,"Review the product, not the producer","Focus on defect detection, don't solve them during the review",Limit debate and rebuttal for future discussion,Allow unlimited time for thorough discussion of all issues,D
49,"In the context of software architecture, what is a ""connector""?",4,A class that connects to databases,An architectural building block tasked with effecting and regulating interactions among components,A function that links modules,A network cable,B
50,What are the three types of maintenance according to the course?,4,"Bug fixing, updating, and retiring","Corrective, Adaptive, and Perfective","Emergency, scheduled, and preventive","Code, design, and requirements maintenance",B
51,"According to the equivalence class partitioning technique, which statement is correct?",4,Each valid equivalence class should have multiple test cases,Multiple invalid equivalence classes can be tested in a single test case,Only one representative value should be chosen from each invalid equivalence class per test case,Boundary values are not important in equivalence partitioning,C
